0,214,459
0,143,122
0,215,72
1,214,551
1,215,72
1,143,203
2,204,1
2,22,2
2,226,4
2,214,23
2,143,155
3,204,1
3,22,2
3,226,4
3,214,23
3,143,155
4,204,1
4,22,2
4,226,4
4,214,23
4,143,155
7,322,74
7,214,9
8,322,74
8,214,9
9,322,71
9,214,9
10,322,55
10,214,9
11,204,1
11,22,2
11,226,4
11,214,23
11,143,155
12,204,1
12,22,2
12,226,4
12,214,23
12,143,155
13,204,1
13,22,2
13,226,4
13,214,23
13,143,155
14,204,1
14,22,2
14,226,4
14,214,23
14,143,155
17,322,74
17,214,9
18,322,74
18,214,9
19,322,71
19,214,9
20,322,55
20,214,9
21,204,1
21,22,2
21,226,4
21,214,23
21,143,155
22,204,1
22,22,2
22,226,4
22,214,23
22,143,155
23,204,1
23,22,2
23,226,4
23,214,23
23,143,155
24,204,1
24,22,2
24,226,4
24,214,23
24,143,155
27,322,74
27,214,9
28,322,74
28,214,9
29,322,71
29,214,9
30,322,55
30,214,9
31,204,1
31,22,2
31,226,4
31,214,23
31,143,155
32,214,330
32,225,78
32,143,28
33,204,1
33,22,2
33,226,4
33,214,23
33,143,155
34,204,1
34,22,2
34,226,4
34,214,23
34,143,155
35,204,1
35,22,2
35,226,4
35,214,23
35,143,155
36,22,2
36,214,8
37,214,10
38,22,2
38,214,8
39,214,10
40,214,10
44,322,74
44,214,9
45,322,74
45,214,9
46,322,71
46,214,9
47,322,55
47,214,9
48,204,1
48,22,2
48,226,4
48,214,23
48,143,155
52,143,181
74,214,4
75,214,4
80,214,1
80,138,34
80,143,34
91,164,2963
92,214,1
93,214,8
94,214,43
95,22,2
95,214,339
96,214,105
96,143,64
97,213,3672
97,214,60
97,120,6
97,225,1260
97,216,1
97,143,2290
98,213,3672
98,214,61
98,120,6
98,225,1260
98,216,1
98,143,2290
99,13,968
99,164,522
99,238,117
99,143,1044
100,213,1
100,214,7
100,164,1963
100,238,9
100,143,31010
100,215,18
101,213,1
101,214,8
101,164,1962
101,238,9
101,143,31008
101,215,19
102,214,11
103,13,1165
103,164,719
103,238,4736
103,143,1438
105,13,1222
105,164,772
105,238,4736
105,143,1548
106,213,1
106,214,8
106,164,1962
106,238,9
106,143,31008
106,215,19
107,213,1
107,214,8
107,164,1962
107,238,9
107,143,31008
107,215,19
108,13,1377
108,164,897
108,238,4736
108,143,1828
112,13,1432
112,164,952
112,238,4736
112,143,1938
113,213,1
113,214,8
113,164,1962
113,238,9
113,143,31008
113,215,19
115,214,4
116,214,4
117,214,3
117,238,3
118,214,3
118,238,3
119,214,3
119,238,3
120,214,3
120,238,3
121,214,3
121,238,3
122,214,3
122,238,3
123,214,3
123,238,3
124,214,3
124,238,3
125,214,3
126,214,3
127,214,3
128,214,3
129,214,3
130,214,3
131,214,3
132,214,3
133,214,4
